date,ticker,signal,score,entry_price,price_5d,price_10d,price_20d,return_5d,return_10d,return_20d
2026-04-14,AVGO,BUY (持有),52,379.75,402.65,414.41,,+6.03%,+9.13%,
2026-04-14,SNDK,BUY (持有),52,952.50,916.30,965.24,,-3.80%,+1.34%,
2026-04-15,AVGO,BUY (持有),52,379.75,402.65,419.09,,+6.03%,+10.36%,
2026-04-15,SNDK,BUY (持有),52,952.50,916.30,1038.12,,-3.80%,+8.99%,
2026-04-16,AVGO,BUY (持有),52,379.75,396.31,419.09,,+4.36%,+10.36%,
2026-04-16,SNDK,BUY (持有),52,952.50,918.15,1038.12,,-3.61%,+8.99%,
2026-04-17,AVGO,BUY (持有),52,379.75,406.53,419.09,,+7.05%,+10.36%,
2026-04-17,SNDK,BUY (持有),52,952.50,904.13,1038.12,,-5.08%,+8.99%,
2026-04-20,AAPL,BUY (持有),59,273.15,267.51,271.00,,-2.07%,-0.79%,
2026-04-20,AMD,BUY (持有),58,281.23,335.39,344.60,,+19.26%,+22.53%,
2026-04-20,RKLB,BUY (持有),48,87.49,78.00,81.00,,-10.85%,-7.42%,
2026-04-21,CRWD,BUY (持有),56,452.80,450.17,,,-0.58%,,
2026-04-21,RKLB,BUY (持有),48,90.57,78.00,,,-13.88%,,
2026-04-22,AMD,BUY (買入),63,287.80,335.39,,,+16.54%,,
2026-04-22,RKLB,BUY (持有),48,92.06,78.00,,,-15.27%,,
2026-04-23,AVGO,BUY (買入),63,426.59,399.83,,,-6.27%,,
2026-04-23,NVDA,BUY (買入),72,203.38,213.17,,,+4.81%,,
2026-04-24,AMD,BUY (持有),48,345.45,319.88,,,-7.40%,,
2026-04-24,MU,BUY (持有),48,496.92,518.41,,,+4.33%,,
2026-04-24,TSM,BUY (觀望),44,401.12,389.42,,,-2.92%,,
2026-04-27,GOOGL,BUY (買入),64,349.03,,,,,,
2026-04-27,MU,BUY (持有),48,521.91,,,,,,
2026-04-27,SNDK,BUY (持有),48,1035.72,,,,,,
2026-04-29,SNDK,BUY (持有),56,1081.00,,,,,,
2026-04-30,GOOGL,BUY (持有),48,371.24,,,,,,
